Rinse: R,Rinse: MAE,Rinse Test: R,Rinse Test: MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Rinse 0: R,Rinse 1: R,Rinse 0: MAE,Rinse 1: MAE,Rinse 0: R TEST,Rinse 1: R TEST,Rinse 0: MAE TEST,Rinse 1: MAE TEST
,,,,34,0.993636355,0.144200809,0.99606666,0.127527606,0.988926873,0.998713553,0.19912472,0.085353753,0.992756858,0.998482496,0.173544962,0.077326871
,,,,35,0.993647158,0.142576354,0.993135676,0.156918868,0.988919377,0.998767227,0.199183833,0.081925498,0.992044851,0.99979879,0.180242132,0.106385136
,,,,36,0.993610308,0.141586289,0.996260315,0.127475582,0.988846213,0.998787314,0.199580722,0.07944938,0.999458849,0.993881389,0.081010453,0.183233675
,,,,37,0.993788108,0.139131693,0.989510641,0.126949705,0.989185333,0.998798445,0.196477305,0.077689972,0.98806572,0.997886121,0.151948929,0.076951191
,,,,38,0.993774086,0.138120966,0.986470148,0.245678049,0.989136562,0.998779878,0.195612021,0.076523401,0.981166035,0.99284254,0.284148179,0.192781635
,,,,39,0.993660077,0.137651011,0.991894394,0.138792668,0.98892881,0.998747095,0.195857186,0.075287262,0.995495975,0.989980847,0.140302066,0.137283269
,,,,40,0.993766487,0.135685302,0.989898726,0.201520357,0.98906599,0.998761088,0.193845812,0.073370464,0.986365393,0.995345712,0.240538567,0.14020602
,,,,41,0.993872985,0.133708207,0.995009094,0.144711724,0.98920919,0.998765767,0.191231415,0.072076227,0.999070913,0.987931222,0.095010649,0.206838094
,,,,42,0.993787989,0.13379205,0.989139095,0.199276056,0.988994017,0.998755142,0.191535909,0.07192361,0.989737809,0.990945965,0.17511731,0.238534041
,,,,43,0.993933022,0.131706202,0.9987313,0.075304555,0.989248365,0.998755366,0.188065119,0.071321664,0.997783467,0.999817252,0.098709601,0.051899511
,,,,44,0.993879586,0.130585773,0.990584165,0.172359005,0.989163831,0.998722672,0.1856745,0.07156213,0.989564225,0.995672509,0.215111773,0.121055739
,,,,45,0.993744045,0.130931128,0.952961147,0.298534162,0.988945618,0.998632327,0.184453722,0.073585484,0.949569657,0.994454876,0.379259847,0.120937657
,,,,46,0.993663788,0.1328725,0.988171786,0.188082244,0.98890014,0.99850817,0.186136018,0.075804457,0.988327712,0.996614188,0.166680016,0.234453816
,,,,47,0.993466318,0.136381764,0.970833734,0.236292142,0.988660127,0.998355821,0.190430373,0.078472534,0.984793469,0.945438772,0.239675213,0.233472921
,,,,48,0.993237421,0.140063215,0.98267588,0.232882436,0.988422811,0.998203024,0.194704514,0.081518942,0.985365376,0.99190785,0.269345284,0.188316699
,,,,49,0.992863074,0.145601634,0.995420918,0.136664605,0.988029644,0.997997999,0.201568544,0.08563708,0.993802026,0.998893172,0.156058487,0.106188525
,,,,50,0.992535174,0.15496489,0.98340638,0.15167769,0.987829357,0.997795433,0.214595597,0.091074847,0.936726242,0.997886017,0.138890348,0.172989916
