,Retrained Results
0,0.34811775883038837
1,0.30550872286160785
2,0.26728129386901855
3,0.239371324578921
4,0.22289658586184183
5,0.20420695344607034
6,0.19574062526226044
7,0.18421790997187296
8,0.17847243944803873
9,0.17735257744789124
