,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 14, 14","R: 15, 14","R: 16, 14","R: 17, 14","R: 18, 14","R: 19, 14","R: 20, 14","R: 21, 14","R: 22, 14","R: 23, 14","R: 24, 14","R: 25, 14","R: 26, 14","R: 14, 15","R: 15, 15","R: 16, 15","R: 17, 15","R: 18, 15","R: 19, 15","R: 20, 15","R: 21, 15","R: 22, 15","R: 23, 15","R: 24, 15","R: 25, 15","R: 14, 16","R: 15, 16","R: 16, 16","R: 17, 16","R: 18, 16","R: 19, 16","R: 20, 16","R: 21, 16","R: 22, 16","R: 23, 16","R: 24, 16","R: 14, 17","R: 15, 17","R: 16, 17","R: 17, 17","R: 18, 17","R: 19, 17","R: 20, 17","R: 21, 17","R: 22, 17","R: 23, 17","R: 14, 18","R: 15, 18","R: 16, 18","R: 17, 18","R: 18, 18","R: 19, 18","R: 20, 18","R: 21, 18","R: 22, 18","R: 14, 19","R: 15, 19","R: 16, 19","R: 17, 19","R: 18, 19","R: 19, 19","R: 20, 19","R: 21, 19","R: 14, 20","R: 15, 20","R: 16, 20","R: 17, 20","R: 18, 20","R: 19, 20","R: 20, 20","R: 14, 21","R: 15, 21","R: 16, 21","R: 17, 21","R: 18, 21","R: 19, 21","R: 14, 22","R: 15, 22","R: 16, 22","R: 17, 22","R: 18, 22","R: 14, 23","R: 15, 23","R: 16, 23","R: 17, 23","R: 14, 24","R: 15, 24","R: 16, 24","R: 14, 25","R: 15, 25","R: 14, 26","MAE: 14, 14","MAE: 15, 14","MAE: 16, 14","MAE: 17, 14","MAE: 18, 14","MAE: 19, 14","MAE: 20, 14","MAE: 21, 14","MAE: 22, 14","MAE: 23, 14","MAE: 24, 14","MAE: 25, 14","MAE: 26, 14","MAE: 14, 15","MAE: 15, 15","MAE: 16, 15","MAE: 17, 15","MAE: 18, 15","MAE: 19, 15","MAE: 20, 15","MAE: 21, 15","MAE: 22, 15","MAE: 23, 15","MAE: 24, 15","MAE: 25, 15","MAE: 14, 16","MAE: 15, 16","MAE: 16, 16","MAE: 17, 16","MAE: 18, 16","MAE: 19, 16","MAE: 20, 16","MAE: 21, 16","MAE: 22, 16","MAE: 23, 16","MAE: 24, 16","MAE: 14, 17","MAE: 15, 17","MAE: 16, 17","MAE: 17, 17","MAE: 18, 17","MAE: 19, 17","MAE: 20, 17","MAE: 21, 17","MAE: 22, 17","MAE: 23, 17","MAE: 14, 18","MAE: 15, 18","MAE: 16, 18","MAE: 17, 18","MAE: 18, 18","MAE: 19, 18","MAE: 20, 18","MAE: 21, 18","MAE: 22, 18","MAE: 14, 19","MAE: 15, 19","MAE: 16, 19","MAE: 17, 19","MAE: 18, 19","MAE: 19, 19","MAE: 20, 19","MAE: 21, 19","MAE: 14, 20","MAE: 15, 20","MAE: 16, 20","MAE: 17, 20","MAE: 18, 20","MAE: 19, 20","MAE: 20, 20","MAE: 14, 21","MAE: 15, 21","MAE: 16, 21","MAE: 17, 21","MAE: 18, 21","MAE: 19, 21","MAE: 14, 22","MAE: 15, 22","MAE: 16, 22","MAE: 17, 22","MAE: 18, 22","MAE: 14, 23","MAE: 15, 23","MAE: 16, 23","MAE: 17, 23","MAE: 14, 24","MAE: 15, 24","MAE: 16, 24","MAE: 14, 25","MAE: 15, 25","MAE: 14, 26"
0,1,1.3894678950309753,3.9446693658828735,1,1.3894678950309753,3.9446693658828735,0.9989308565855026,0.9988720118999481,0.9989906400442123,0.999168336391449,0.9991067349910736,0.9992229640483856,0.9991385787725449,0.9989619553089142,0.9990812242031097,0.9989509284496307,0.9992318600416183,0.9990665465593338,0.9990587681531906,0.9992183893918991,0.9987515211105347,0.9989649057388306,0.9989925920963287,0.9990126043558121,0.9990087449550629,0.9990423023700714,0.9990832507610321,0.9990701526403427,0.9989970028400421,0.9989957511425018,0.9989595413208008,0.9984634518623352,0.9986999481916428,0.9990790337324142,0.9987717568874359,0.9990397542715073,0.9990080296993256,0.9991103857755661,0.9990596622228622,0.9987955242395401,0.9991315305233002,0.9991264641284943,0.9992256313562393,0.998696431517601,0.99884432554245,0.9991665482521057,0.9989717751741409,0.9990403801202774,0.9991638660430908,0.9986864328384399,0.999224990606308,0.9991123527288437,0.9992192834615707,0.999023362994194,0.9990441054105759,0.9988237917423248,0.9989667534828186,0.9990820735692978,0.9989414662122726,0.9990638643503189,0.9989747256040573,0.9991254806518555,0.9989576786756516,0.9990878850221634,0.9991467893123627,0.9989661425352097,0.9987194687128067,0.9988329857587814,0.9992577433586121,0.9984818398952484,0.9990353137254715,0.9991690069437027,0.9990492910146713,0.9991528242826462,0.9990710616111755,0.9992033988237381,0.9990758895874023,0.9990627318620682,0.9988976716995239,0.9991046041250229,0.9990289807319641,0.9989755600690842,0.9990607798099518,0.9991459250450134,0.9990950971841812,0.9992670118808746,0.9990851581096649,0.9989302754402161,0.9989578276872635,0.9991777837276459,0.9991464614868164,0.9987405091524124,0.9990997910499573,0.9991245716810226,0.9990821927785873,0.9990704357624054,0.9989138245582581,0.06324942503124475,0.06162375397980213,0.06208413373678923,0.04906391724944115,0.053394866175949574,0.0544832544401288,0.05809751898050308,0.06411479227244854,0.059864798560738564,0.06175672169774771,0.05548705719411373,0.0689256926998496,0.055918061174452305,0.053582360967993736,0.06357086915522814,0.059317090548574924,0.06361346691846848,0.06738099735230207,0.06272291764616966,0.05321165919303894,0.06587836891412735,0.05824641976505518,0.06176530569791794,0.05545604135841131,0.07270622346550226,0.06635177507996559,0.06511292699724436,0.04996019788086414,0.06589518394321203,0.060156588442623615,0.0547433253377676,0.05888193566352129,0.05672691948711872,0.06198450457304716,0.0607314296066761,0.0542218666523695,0.05049132462590933,0.07073034252971411,0.0639028325676918,0.05171871278434992,0.06011849548667669,0.05763014126569033,0.05121263489127159,0.06208809278905392,0.05221088323742151,0.06414042972028255,0.06237782724201679,0.052675734274089336,0.0611402103677392,0.059075403958559036,0.05776344612240791,0.06054266355931759,0.05624064803123474,0.06147340778261423,0.05936808045953512,0.0587625103071332,0.067241913639009,0.0581081984564662,0.05990304145962,0.055972153320908546,0.059341627173125744,0.07091101072728634,0.05515838786959648,0.0778682166710496,0.07219044305384159,0.06152186170220375,0.051079454831779,0.06230318080633879,0.05119357816874981,0.05171915050595999,0.061185864731669426,0.07669016905128956,0.06009518261998892,0.04923121817409992,0.05623744893819094,0.07278048526495695,0.054301053285598755,0.05578535422682762,0.05544274765998125,0.04726483300328255,0.05012098699808121,0.052731201983988285,0.05425181891769171,0.05374139919877052,0.06423698365688324,0.06709122005850077,0.06273903604596853,0.05675623845309019,0.06205099821090698,0.054415992461144924,0.06956732086837292
1,2,1.025265708565712,2.2797529995441437,2,1.2802072390913963,3.445194455981255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,0.7400641888380051,1.3149398639798164,3,1.118164324015379,2.8061180783808233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0.5502279698848724,0.7362222485244274,4,0.947783417776227,2.1851493294239046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,0.4035729914903641,0.35771436244249344,5,0.7845202898904681,1.6369188393294811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,0.2905452810227871,0.16876773722469807,6,0.6363277872301637,1.1964735086980463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,0.22753296792507172,0.1105835922062397,7,0.5136893414386361,0.8707065337505042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,0.19662058725953102,0.09425283409655094,8,0.41856871518490457,0.6377704238543181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,0.17639963701367378,0.08237594552338123,9,0.3459179917335353,0.47115208035503703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,0.16335897520184517,0.07463804446160793,10,0.29115028677402827,0.35219786958700827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
