Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
477,-0.124361336,477,-0.249519467,477,-0.173393369
478,-0.124361336,478,-0.249050796,478,-0.17283082
479,-0.124455035,479,-0.248300672,479,-0.172643244
480,-0.124455035,480,-0.247644424,480,-0.172643244
481,-0.124455035,481,-0.247175753,481,-0.172268271
482,-0.124455035,482,-0.24633193,482,-0.171705723
483,-0.124455035,483,-0.246050656,483,-0.17133075
484,-0.124455035,484,-0.245206833,484,-0.171143353
485,-0.124455035,485,-0.244644463,485,-0.171143353
486,-0.124455035,486,-0.244269311,486,-0.170768201
487,-0.124548733,487,-0.243425667,487,-0.170205832
488,-0.124548733,488,-0.243050694,488,-0.16983068
489,-0.124548733,489,-0.242394447,489,-0.169643283
490,-0.124548733,490,-0.241738021,490,-0.169643283
491,-0.124642611,491,-0.241456926,491,-0.169362009
492,-0.124642611,492,-0.2408005,492,-0.168893158
493,-0.124642611,493,-0.24023813,493,-0.168424487
494,-0.124642611,494,-0.239956856,494,-0.168236911
495,-0.124642611,495,-0.239300609,495,-0.168143213
496,-0.124736309,496,-0.23873806,496,-0.168049514
497,-0.124736309,497,-0.238456786,497,-0.167674541
498,-0.124736309,498,-0.237894237,498,-0.167205691
499,-0.124736309,499,-0.237331867,499,-0.166830719
500,-0.124736309,500,-0.237050593,500,-0.16673702
501,-0.004922032,501,-0.131298959,501,-0.046547771
502,-0.004640579,502,-0.132236481,502,-0.046360016
503,-0.004078388,503,-0.133455276,503,-0.04607892
504,-0.003421783,504,-0.134392619,504,-0.045891523
505,-0.003140688,505,-0.135330141,505,-0.045797467
506,-0.002765536,506,-0.136548936,506,-0.04561007
507,-0.002297044,507,-0.137486458,507,-0.045516372
508,-0.002015591,508,-0.138330281,508,-0.045516372
509,-0.001828194,509,-0.139455199,509,-0.045422673
510,-0.001828194,510,-0.140111625,510,-0.045328975
511,-0.001734495,511,-0.141142845,511,-0.045328975
512,-0.001734495,512,-0.141986489,512,-0.045328975
513,-0.001734495,513,-0.142736614,513,-0.045328975
514,-0.001640797,514,-0.143580437,514,-0.045234919
