Ti-200-24hre-1,
s,V
384,0.15717423
385,0.15717423
386,0.15717423
387,0.15717423
388,0.15717423
389,0.157080531
390,0.156986833
391,0.156986833
392,0.156893134
393,0.156893134
394,0.156799078
395,0.156799078
396,0.156705379
397,0.156705379
398,0.156611681
399,0.156611681
400,0.156517982
401,0.002671838
402,0.002390742
403,0.001640797
404,0.001359344
405,0.000984192
406,0.000422001
407,-4.68493E-05
408,-0.000234246
409,-0.000328302
410,-0.000609398
411,-0.000890493
412,-0.001078248
413,-0.001171947
414,-0.001359344
415,-0.001547098
416,-0.001547098
417,-0.001640797
418,-0.001734495
419,-0.001734495
420,-0.001828194
421,-0.001828194
422,-0.001828194
423,-0.001828194
424,-0.001921892
425,-0.001921892
426,-0.001921892
427,-0.001921892
428,-0.001921892
429,-0.001921892
430,-0.002015591
431,-0.002015591
432,-0.002015591
433,-0.002015591
434,-0.002015591
435,-0.002015591
436,-0.001921892
437,-0.001921892
438,-0.001828194
439,-0.001828194
440,-0.001828194
441,-0.001828194
442,-0.001828194
443,-0.001828194
444,-0.001921892
445,-0.001921892
446,-0.001921892
447,-0.001921892
448,-0.001921892
449,-0.001921892
450,-0.001921892
451,-0.125298858
452,-0.126142502
453,-0.126423776
454,-0.126611352
455,-0.126798928
456,-0.126798928
457,-0.126798928
458,-0.126611352
459,-0.126517653
460,-0.126330078
461,-0.126236379
462,-0.126142502
463,-0.126048803
464,-0.125955105
465,-0.125767529
466,-0.125486255
467,-0.12520498
468,-0.125017583
469,-0.124923885
470,-0.124830008
471,-0.124736309
472,-0.124736309
473,-0.124642611
474,-0.124548733
475,-0.124548733
476,-0.124455035
477,-0.124361336
478,-0.124361336
479,-0.124455035
480,-0.124455035
481,-0.124455035
482,-0.124455035
483,-0.124455035
484,-0.124455035
485,-0.124455035
486,-0.124455035
487,-0.124548733
488,-0.124548733
489,-0.124548733
490,-0.124548733
491,-0.124642611
492,-0.124642611
493,-0.124642611
494,-0.124642611
495,-0.124642611
496,-0.124736309
497,-0.124736309
498,-0.124736309
499,-0.124736309
500,-0.124736309
501,-0.004922032
502,-0.004640579
503,-0.004078388
504,-0.003421783
505,-0.003140688
506,-0.002765536
507,-0.002297044
508,-0.002015591
509,-0.001828194
510,-0.001828194
511,-0.001734495
512,-0.001734495
513,-0.001734495
514,-0.001640797
515,-0.001734495
516,-0.001734495
517,-0.001734495
518,-0.001828194
519,-0.001828194
520,-0.001828194
521,-0.001828194
522,-0.001921892
523,-0.001921892
524,-0.002015591
525,-0.002015591
526,-0.002015591
527,-0.002109289
528,-0.002015591
529,-0.001921892
530,-0.001921892
531,-0.001921892
532,-0.001828194
533,-0.001828194
534,-0.001734495
535,-0.001734495
536,-0.001640797
537,-0.001640797
538,-0.001640797
539,-0.001640797
540,-0.001640797
541,-0.001547098
542,-0.001547098
543,-0.001547098
544,-0.001547098
545,-0.001547098
546,-0.001547098
547,-0.001547098
548,-0.001547098
549,-0.001453042
550,-0.001453042
551,0.154830337
552,0.154924393
553,0.154924393
554,0.154830337
555,0.155018091
556,0.155018091
557,0.154924393
558,0.154830337
559,0.154830337
560,0.154830337
561,0.154736638
562,0.154736638
563,0.154736638
564,0.15464294
565,0.154549241
566,0.154455543
567,0.154361844
568,0.154361844
569,0.154267788
570,0.154267788
571,0.154174089
572,0.154174089
573,0.154080391
574,0.154080391
575,0.154080391
576,0.153986692
577,0.153986692
578,0.153892994
579,0.153799295
580,0.153799295
581,0.153705597
582,0.153611541
583,0.153517842
584,0.153517842
585,0.153424144
586,0.153330445
587,0.153330445
588,0.153236747
589,0.153143048
590,0.153143048
591,0.15304935
592,0.15304935
593,0.152955294
594,0.152955294
595,0.152955294
596,0.152861595
597,0.152861595
598,0.152767897
599,0.152767897
600,0.152767897
601,-0.001171947
602,-0.001265645
603,-0.001359344
604,-0.001453042
605,-0.001453042
606,-0.001547098
607,-0.001547098
608,-0.001547098
609,-0.001547098
610,-0.001547098
611,-0.001547098
612,-0.001453042
613,-0.001453042
614,-0.001453042
615,-0.001359344
616,-0.001359344
617,-0.001265645
618,-0.001171947
619,-0.001078248
620,-0.00098455
621,-0.000890493
622,-0.000796795
623,-0.000703096
624,-0.000703096
625,-0.000703096
626,-0.000703096
627,-0.000609398
628,-0.000609398
629,-0.000609398
630,-0.000515699
631,-0.000515699
632,-0.000515699
633,-0.000515699
634,-0.000515699
635,-0.000515699
636,-0.000422001
637,-0.000422001
638,-0.000422001
639,-0.000328302
640,-0.000328302
641,-0.000328302
642,-0.000328302
643,-0.000328302
644,-0.000328302
645,-0.000328302
646,-0.000328302
647,-0.000328302
648,-0.000328302
649,-0.000328302
650,-0.000328302
651,-0.11911118
652,-0.118923783
653,-0.118736207
654,-0.118642509
655,-0.118642509
656,-0.118548632
657,-0.118454933
658,-0.118267536
659,-0.11807996
660,-0.117892385
661,-0.117704988
662,-0.117611289
663,-0.117611289
664,-0.117517412
665,-0.117423713
666,-0.117330015
667,-0.117236137
668,-0.117142439
669,-0.117142439
670,-0.117142439
671,-0.117142439
672,-0.117142439
673,-0.11704874
674,-0.11704874
675,-0.117142439
676,-0.117142439
677,-0.11704874
678,-0.11704874
679,-0.11704874
680,-0.11704874
681,-0.116954863
682,-0.116954863
683,-0.11704874
684,-0.11704874
685,-0.11704874
686,-0.11704874
687,-0.11704874
688,-0.11704874
689,-0.11704874
690,-0.11704874
691,-0.117142439
692,-0.117142439
693,-0.117142439
694,-0.117142439
695,-0.117142439
696,-0.117236137
697,-0.117236137
698,-0.117236137
699,-0.117236137
700,-0.117330015
701,0.002671838
702,0.002578139
703,0.002484441
704,0.002390742
705,0.002297044
706,0.002202988
707,0.002109289
708,0.001921892
709,0.001921892
710,0.001828194
711,0.001734495
712,0.001640797
713,0.001640797
714,0.001546741
715,0.001546741
716,0.001453042
717,0.001453042
718,0.001453042
719,0.001453042
720,0.001359344
721,0.001359344
722,0.001359344
723,0.001265645
724,0.001171947
725,0.001078248
726,0.000984192
727,0.000796795
728,0.000796795
729,0.000703096
730,0.000515699
731,0.000422001
732,0.000234246
733,0.000140548
734,0.000140548
735,0.000140548
736,4.68493E-05
737,0.000140548
738,4.68493E-05
739,4.68493E-05
740,4.68493E-05
741,4.68493E-05
742,4.68493E-05
743,-4.68493E-05
744,-4.68493E-05
745,-4.68493E-05
746,-4.68493E-05
747,-0.000140548
748,-0.000140548
749,-0.000140548
750,-0.000140548
751,0.145361423
752,0.14545548
753,0.145642877
754,0.145923972
755,0.146111727
756,0.146205425
757,0.146299124
758,0.146299124
759,0.146392822
760,0.146299124
761,0.146205425
762,0.145830274
763,0.145642877
764,0.145549178
765,0.14545548
766,0.14545548
767,0.14545548
768,0.14545548
769,0.14545548
770,0.145361423
771,0.145361423
772,0.145361423
773,0.145361423
774,0.145267725
775,0.145267725
776,0.145267725
777,0.145174026
778,0.145174026
779,0.145080328
780,0.145080328
781,0.144892931
782,0.144424081
783,0.144330382
784,0.144236684
785,0.144142628
786,0.144142628
787,0.144048929
788,0.144048929
789,0.143955231
790,0.143955231
791,0.143861532
792,0.143861532
793,0.143861532
794,0.143767834
795,0.143767834
796,0.143674135
797,0.143674135
798,0.143674135
799,0.143580437
800,0.143580437
801,-0.00098455
802,-0.001547098
803,-0.001921892
804,-0.002203345
805,-0.002484441
806,-0.002578139
807,-0.002765536
808,-0.002859592
809,-0.002953291
810,-0.003046989
811,-0.003140688
812,-0.003140688
813,-0.003140688
814,-0.003140688
815,-0.003140688
816,-0.003140688
817,-0.003140688
818,-0.003140688
819,-0.003140688
820,-0.003046989
821,-0.003046989
822,-0.003046989
823,-0.003046989
824,-0.002953291
825,-0.002765536
826,-0.002765536
827,-0.002765536
828,-0.002765536
829,-0.002671838
830,-0.002671838
831,-0.002578139
832,-0.002484441
833,-0.002297044
834,-0.002015591
835,-0.001921892
836,-0.001921892
837,-0.001921892
838,-0.001921892
839,-0.001921892
840,-0.001921892
841,-0.001921892
842,-0.001828194
843,-0.001828194
844,-0.001828194
845,-0.001734495
846,-0.001828194
847,-0.001734495
848,-0.001734495
849,-0.001734495
850,-0.001734495
851,-0.115173697
852,-0.115361094
853,-0.115454972
854,-0.11554867
855,-0.115454972
856,-0.115361094
857,-0.115173697
858,-0.114892423
859,-0.11451745
860,-0.114329875
861,-0.114142478
862,-0.113954902
863,-0.113579929
864,-0.113111079
865,-0.112829804
866,-0.112642407
867,-0.112454832
868,-0.11198616
869,-0.11151731
870,-0.111329913
871,-0.111142337
872,-0.110954762
873,-0.110673666
874,-0.110298514
875,-0.110017419
876,-0.109736145
877,-0.109642267
878,-0.10945487
879,-0.109173596
880,-0.108798623
881,-0.108517349
882,-0.108329773
883,-0.108236074
884,-0.108142376
885,-0.108048499
886,-0.1079548
887,-0.107767224
888,-0.107673526
889,-0.107486129
890,-0.107392251
891,-0.107298553
892,-0.107204854
893,-0.107110977
894,-0.107017279
895,-0.10692358
896,-0.106829703
897,-0.106829703
898,-0.10692358
899,-0.10692358
900,-0.10692358
901,-0.10692358
902,0.008765817
903,0.008672118
904,0.00810957
905,0.007547021
906,0.007359624
907,0.007171869
908,0.006984472
909,0.006703377
910,0.006421924
911,0.006234527
912,0.006140828
913,0.006046772
914,0.005953074
915,0.005859375
916,0.005859375
917,0.005765676
918,0.005765676
919,0.005671978
920,0.005578279
921,0.005578279
922,0.005390525
923,0.005390525
924,0.005203128
925,0.005109429
926,0.005015731
927,0.004922032
928,0.004828334
929,0.004640579
930,0.004640579
931,0.004546881
932,0.004453182
933,0.004453182
934,0.004453182
935,0.004359484
936,0.004359484
937,0.004359484
938,0.004265785
939,0.004265785
940,0.004265785
941,0.004172087
942,0.004172087
943,0.004078031
944,0.004078031
945,0.003984332
946,0.003984332
947,0.003984332
948,0.003890634
949,0.003796935
950,0.003796935
951,0.003703237
952,0.145549178
953,0.14545548
954,0.145549178
955,0.145549178
956,0.145549178
957,0.145642877
958,0.145736575
959,0.145642877
960,0.14545548
961,0.145361423
962,0.145267725
963,0.145174026
964,0.144986629
965,0.144799232
966,0.144705176
967,0.144517779
968,0.144424081
969,0.144330382
970,0.144236684
971,0.144142628
972,0.144048929
973,0.143955231
974,0.143861532
975,0.143767834
976,0.143767834
977,0.143674135
978,0.143486381
979,0.143298984
980,0.143111587
981,0.14292419
982,0.142736435
983,0.142549038
984,0.142455339
985,0.142361641
986,0.142361641
987,0.142267942
988,0.142267942
989,0.142267942
990,0.142173886
991,0.142080188
992,0.141986489
993,0.141892791
994,0.141892791
995,0.141799092
996,0.141799092
997,0.141705394
998,0.141705394
999,0.141611338
1000,0.141517639
